Date,Price,Close,High,Low,Open,Volume
2009-01-02 00:00:00+00:00,931.7999878,931.7999878,934.7299805,899.3499756,902.9899902,4048270000
2009-01-05 00:00:00+00:00,927.4500122,927.4500122,936.6300049,919.5300293,929.1699829,5413910000
2009-01-06 00:00:00+00:00,934.7000122,934.7000122,943.8499756,927.2800293,931.1699829,5392620000
2009-01-07 00:00:00+00:00,906.6500244,906.6500244,927.4500122,902.3699951,927.4500122,4704940000
2009-01-08 00:00:00+00:00,909.7299805,909.7299805,910,896.8099976,905.7299805,4991550000
2009-01-09 00:00:00+00:00,890.3499756,890.3499756,911.9299927,888.3099976,909.9099731,4716500000
2009-01-12 00:00:00+00:00,870.2600098,870.2600098,890.4000244,864.3200073,890.4000244,4725050000
2009-01-13 00:00:00+00:00,871.789978,871.789978,877.0200195,862.0200195,869.789978,5567460000
2009-01-14 00:00:00+00:00,842.6199951,842.6199951,867.2800293,836.9299927,867.2800293,5407880000
2009-01-15 00:00:00+00:00,843.7399902,843.7399902,851.5900269,817.039978,841.9899902,7807350000
2009-01-16 00:00:00+00:00,850.1199951,850.1199951,858.1300049,830.6599731,844.4500122,6786040000
2009-01-20 00:00:00+00:00,805.2199707,805.2199707,849.6400146,804.4699707,849.6400146,6375230000
2009-01-21 00:00:00+00:00,840.2399902,840.2399902,841.7199707,804.2999878,806.7700195,6467830000
2009-01-22 00:00:00+00:00,827.5,827.5,839.7399902,811.289978,839.7399902,5843830000
2009-01-23 00:00:00+00:00,831.9500122,831.9500122,838.6099854,806.0700073,822.1599731,5832160000
2009-01-26 00:00:00+00:00,836.5700073,836.5700073,852.5300293,827.6900024,832.5,6039940000
2009-01-27 00:00:00+00:00,845.710022,845.710022,850.4500122,835.4000244,837.2999878,5353260000
2009-01-28 00:00:00+00:00,874.0900269,874.0900269,877.8599854,845.7299805,845.7299805,6199180000
2009-01-29 00:00:00+00:00,845.1400146,845.1400146,868.8900146,844.1500244,868.8900146,5067060000
2009-01-30 00:00:00+00:00,825.8800049,825.8800049,851.6599731,821.6699829,845.6900024,5350580000
2009-02-02 00:00:00+00:00,825.4400024,825.4400024,830.7800293,812.8699951,823.0900269,5673270000
2009-02-03 00:00:00+00:00,838.5100098,838.5100098,842.5999756,821.9799805,825.6900024,5886310000
2009-02-04 00:00:00+00:00,832.2299805,832.2299805,851.8499756,829.1799927,837.7700195,6420450000
2009-02-05 00:00:00+00:00,845.8499756,845.8499756,850.5499878,819.9099731,831.75,6624030000
2009-02-06 00:00:00+00:00,868.5999756,868.5999756,870.75,845.4199829,846.0900269,6484100000
2009-02-09 00:00:00+00:00,869.8900146,869.8900146,875.0100098,861.6500244,868.2399902,5574370000
2009-02-10 00:00:00+00:00,827.1599731,827.1599731,868.0499878,822.9899902,866.8699951,6770170000
2009-02-11 00:00:00+00:00,833.7399902,833.7399902,838.2199707,822.2999878,827.4099731,5926460000
2009-02-12 00:00:00+00:00,835.1900024,835.1900024,835.4799805,808.0599976,829.9099731,6476460000
2009-02-13 00:00:00+00:00,826.8400269,826.8400269,839.4299927,825.210022,833.9500122,5296650000
2009-02-17 00:00:00+00:00,789.1699829,789.1699829,818.6099854,789.1699829,818.6099854,5907820000
2009-02-18 00:00:00+00:00,788.4199829,788.4199829,796.1699829,780.4299927,791.0599976,5740710000
2009-02-19 00:00:00+00:00,778.9400024,778.9400024,797.5800171,777.0300293,787.9099731,5746940000
2009-02-20 00:00:00+00:00,770.0499878,770.0499878,778.6900024,754.25,775.8699951,8210590000
2009-02-23 00:00:00+00:00,743.3300171,743.3300171,777.8499756,742.3699951,773.25,6509300000
2009-02-24 00:00:00+00:00,773.1400146,773.1400146,775.4899902,744.6900024,744.6900024,7234490000
2009-02-25 00:00:00+00:00,764.9000244,764.9000244,780.1199951,752.8900146,770.6400146,7483640000
2009-02-26 00:00:00+00:00,752.8300171,752.8300171,779.4199829,751.75,765.7600098,7599970000
