FileName,Date,SentimentScore
fomcminutes20090128.pdf,20090128,-0.81738
fomcminutes20090318.pdf,20090318,-0.67374
fomcminutes20090429.pdf,20090429,0.16586
fomcminutes20090624.pdf,20090624,0.24934
fomcminutes20090812.pdf,20090812,0.3467
fomcminutes20090923.pdf,20090923,0.15625
fomcminutes20091104.pdf,20091104,0.21128
fomcminutes20091216.pdf,20091216,0.21375
fomcminutes20100127.pdf,20100127,0.05416
fomcminutes20100316.pdf,20100316,0.08823
fomcminutes20100428.pdf,20100428,0.191
fomcminutes20100623.pdf,20100623,0.146
fomcminutes20100810.pdf,20100810,0.17421
fomcminutes20100921.pdf,20100921,0.09812
fomcminutes20101103.pdf,20101103,0.11382
fomcminutes20101214.pdf,20101214,0.06105
fomcminutes20110126.pdf,20110126,0.54971
fomcminutes20110315.pdf,20110315,0.21713
fomcminutes20110427.pdf,20110427,0.177
fomcminutes20110622.pdf,20110622,0.125
fomcminutes20110809.pdf,20110809,-0.76702
fomcminutes20110921.pdf,20110921,0.07238
fomcminutes20111102.pdf,20111102,0.11576
fomcminutes20111213.pdf,20111213,0.07945
fomcminutes20120125.pdf,20120125,0.01487
fomcminutes20120313.pdf,20120313,0.135
fomcminutes20120425.pdf,20120425,0.08618
fomcminutes20120620.pdf,20120620,0.26957
fomcminutes20120801.pdf,20120801,0.23242
fomcminutes20120913.pdf,20120913,0.10127
fomcminutes20121023.pdf,20121023,0.07364
fomcminutes20121212.pdf,20121212,0
fomcminutes20130130.pdf,20130130,0.16512
fomcminutes20130320.pdf,20130320,0.11615
fomcminutes20130501.pdf,20130501,0.02467
fomcminutes20130619.pdf,20130619,0.15112
fomcminutes20130731.pdf,20130731,0.035
fomcminutes20130918.pdf,20130918,0.11126
fomcminutes20131030.pdf,20131030,0.15
fomcminutes20131218.pdf,20131218,0.57878
fomcminutes20140129.pdf,20140129,0.125
fomcminutes20140319.pdf,20140319,0.24358
fomcminutes20140430.pdf,20140430,0.16825
fomcminutes20140618.pdf,20140618,0.29722
fomcminutes20140730.pdf,20140730,0.264
fomcminutes20140917.pdf,20140917,0.22
fomcminutes20141029.pdf,20141029,0.00307
fomcminutes20141217.pdf,20141217,0.2475
fomcminutes20150128.pdf,20150128,0.18497
fomcminutes20150318.pdf,20150318,0.06657
fomcminutes20150429.pdf,20150429,0.07433
fomcminutes20150617.pdf,20150617,0.058
fomcminutes20150729.pdf,20150729,0.15529
fomcminutes20150917.pdf,20150917,0.00469
fomcminutes20151028.pdf,20151028,0.126
fomcminutes20151216.pdf,20151216,0.21268
fomcminutes20160127.pdf,20160127,0.09187
fomcminutes20160316.pdf,20160316,0.063
fomcminutes20160427.pdf,20160427,0.045
fomcminutes20160615.pdf,20160615,0.02
fomcminutes20160727.pdf,20160727,0.03309
fomcminutes20160921.pdf,20160921,0.04163
fomcminutes20161102.pdf,20161102,0.15529
fomcminutes20161214.pdf,20161214,0.24568
fomcminutes20170201.pdf,20170201,0.13254
fomcminutes20170315.pdf,20170315,0.41874
fomcminutes20170503.pdf,20170503,0.135
fomcminutes20170614.pdf,20170614,0.21334
fomcminutes20170726.pdf,20170726,0.115
fomcminutes20170920.pdf,20170920,0.178
fomcminutes20171101.pdf,20171101,0.18342
fomcminutes20171213.pdf,20171213,0.385
fomcminutes20180131.pdf,20180131,0.34818
fomcminutes20180321.pdf,20180321,0.225
fomcminutes20180502.pdf,20180502,0.21
fomcminutes20180613.pdf,20180613,0.7132
fomcminutes20180801.pdf,20180801,0.20132
fomcminutes20180926.pdf,20180926,0.22714
fomcminutes20181108.pdf,20181108,0.22
fomcminutes20181219.pdf,20181219,0.08632
fomcminutes20190130.pdf,20190130,0.18431
fomcminutes20190320.pdf,20190320,0.24184
fomcminutes20190501.pdf,20190501,0.125
fomcminutes20190619.pdf,20190619,0.26041
fomcminutes20190731.pdf,20190731,0.20627
fomcminutes20190918.pdf,20190918,0.10168
fomcminutes20191030.pdf,20191030,0.19756
fomcminutes20191211.pdf,20191211,0.24
fomcminutes20200129.pdf,20200129,0.20966
fomcminutes20200315.pdf,20200315,-0.82368
fomcminutes20200429.pdf,20200429,0.1788
fomcminutes20200610.pdf,20200610,0.12423
fomcminutes20200729.pdf,20200729,0.15
fomcminutes20200916.pdf,20200916,0.37432
fomcminutes20201105.pdf,20201105,0.15
fomcminutes20201216.pdf,20201216,0.16673
fomcminutes20210127.pdf,20210127,0.08774
fomcminutes20210317.pdf,20210317,0.35461
fomcminutes20210428.pdf,20210428,0.425
fomcminutes20210616.pdf,20210616,0.17976
fomcminutes20210728.pdf,20210728,0.23343
fomcminutes20210922.pdf,20210922,0.10323
fomcminutes20211103.pdf,20211103,0.271
fomcminutes20211215.pdf,20211215,0.54612
fomcminutes20220126.pdf,20220126,0.036
fomcminutes20220316.pdf,20220316,0.067
fomcminutes20220504.pdf,20220504,0.03759
fomcminutes20220615.pdf,20220615,0.04618
fomcminutes20220727.pdf,20220727,0.0792
fomcminutes20220921.pdf,20220921,0.14419
fomcminutes20221102.pdf,20221102,0.10234
fomcminutes20221214.pdf,20221214,0.02561
fomcminutes20230201.pdf,20230201,0.15346
fomcminutes20230322.pdf,20230322,0.21532
fomcminutes20230503.pdf,20230503,0.05267
fomcminutes20230614.pdf,20230614,0.10546
fomcminutes20230726.pdf,20230726,0.1625
fomcminutes20230920.pdf,20230920,0.0452
fomcminutes20231101.pdf,20231101,0.18958
fomcminutes20231213.pdf,20231213,0.03267
fomcminutes20240131.pdf,20240131,0.26246
fomcminutes20240320.pdf,20240320,0.12226
fomcminutes20240501.pdf,20240501,0.02
fomcminutes20240612.pdf,20240612,0.2
fomcminutes20240731.pdf,20240731,0.12
